postal code,place name,latitude,longitude
76-270,Możdżanowo,54.5002,16.7766
83-210,Zblewo,53.9353,18.3239
83-221,Komorze,53.7149,18.5294
83-230,Kamionka,53.6851,18.6348
83-240,Smolniki,53.7671,18.422
83-240,Mościska,53.8611,18.4366
83-243,Osówek,53.7808,18.1399
83-251,Pinczyn,53.9627,18.3426
83-113,Turze,54.095,18.6172
83-130,Wola,53.9247,18.728
83-135,Wielkie Wyręby,53.7823,18.7025
83-136,Pólko,53.7528,18.8017
83-140,Kuchnia,53.8917,18.8676
84-208,Rębiska,54.4407,18.3194
84-210,Kurowo,54.7369,17.8281
84-210,Karczemka Kierzkowska,54.7716,17.8796
84-214,Bożepole Małe,54.5675,17.9901
84-217,Przetoczyno,54.5239,18.2089
84-230,Rumia,54.5744,18.3937
84-242,Dąbrówka,54.5469,18.1771
84-250,Strzebielinek,54.6978,18.0665
84-250,Kostkowo,54.6673,18.0307
82-400,Grzępa,53.9549,19.0126
82-410,Waplewo Wielkie,53.9271,19.2346
82-410,Olszak,53.8926,19.2621
82-433,Dąbrówka Pruska,53.8526,19.129
82-433,Kołoząb Mały,53.8753,19.1388
82-450,Milikowo,53.8787,19.4885
80-047,Gdańsk,54.3292,18.6371
80-052,Gdańsk,54.3284,18.6378
80-121,Gdańsk,54.3441,18.6025
80-201,Gdańsk,54.3632,18.6419
80-208,Gdańsk,54.3632,18.6344
80-225,Gdańsk,54.3744,18.6106
80-244,Gdańsk,54.3788,18.6053
80-255,Gdańsk,54.3773,18.5942
80-357,Gdańsk,54.4131,18.5779
80-361,Gdańsk,54.4111,18.5752
80-364,Gdańsk,54.4083,18.6031
80-380,Gdańsk,54.4084,18.5825
80-524,Gdańsk,54.4046,18.6403
80-544,Gdańsk,54.4,18.6707
80-771,Gdańsk,54.3465,18.668
80-803,Gdańsk,54.3522,18.6389
80-833,Gdańsk,54.3504,18.6544
80-881,Gdańsk,54.3458,18.6538
80-899,Gdańsk,54.4218,18.4554
81-017,Gdynia,54.5497,18.439
81-036,Gdynia,54.5488,18.4686
81-062,Gdynia,54.5387,18.4871
81-065,Gdynia,54.5408,18.4744
81-183,Gdynia,54.5523,18.4995
81-197,Gdynia,54.5764,18.5428
81-210,Gdynia,54.5301,18.4876
81-213,Gdynia,54.5363,18.4879
81-222,Gdynia,54.5311,18.4951
81-225,Gdynia,54.5306,18.4991
81-356,Gdynia,54.5213,18.5378
81-378,Gdynia,54.5085,18.5459
81-459,Gdynia,54.4911,18.5482
81-460,Gdynia,54.4913,18.5494
81-468,Gdynia,54.5003,18.536
81-503,Gdynia,54.4835,18.5216
81-518,Gdynia,54.4884,18.5563
81-584,Gdynia,54.4735,18.5107
81-604,Gdynia,54.4991,18.4965
81-619,Gdynia,54.5033,18.5135
81-629,Gdynia,54.4942,18.5137
81-759,Sopot,54.4439,18.568
81-829,Sopot,54.443,18.5506
81-841,Sopot,54.4401,18.558
81-874,Sopot,54.4311,18.5553
41-250,Czeladź,50.3165,19.0723
41-512,Psary,50.3732,19.105
42-470,Wojkowice Kościelne,50.4122,19.2069
42-512,Malinowice,50.3878,19.1403
42-584,Wymysłów,50.4069,18.9877
43-330,Zasole Bielańskie,49.9337,19.1772
43-356,Kobiernice,49.8531,19.214
43-410,Zebrzydowice,49.879,18.6134
43-440,Kozakowice Dolne,49.7509,18.7722
42-231,Mykanów,50.9232,19.2073
42-244,Srocko,50.7975,19.2543
42-256,Zrębice Pierwsze,50.7298,19.3348
42-260,Wanaty,50.6916,19.1419
42-260,Kamienica Polska,50.6813,19.1476
42-262,Kolonia Borek,50.6998,19.1643
42-270,Kuźnica,50.8919,19.4637
44-153,Rachowice,50.2978,18.4978
44-172,Chechło,50.4102,18.403
44-180,Kotliszowice,50.4694,18.5529
44-187,Kieleczka,50.5294,18.6081
42-110,Nowa Wieś,51.0252,19.0276
42-120,Kołaczkowice,50.9566,18.9614
42-134,Klepaczka,50.8465,18.8527
42-140,Kawki,50.8686,18.7903
42-160,Parcele,50.9456,18.6911
42-160,Lutrowskie,50.9624,18.6866
42-284,Niwy,50.7488,18.7668
42-713,Harbułtowice,50.6861,18.7853
42-714,Kolonia Lisów,50.7448,18.8215
42-772,Skrzydłowice,50.6964,18.5471
42-310,Zawada,50.6556,19.3723
42-320,Dąbrowno,50.6712,19.5441
42-320,Postaszowice,50.658,19.4791
42-350,Oczko,50.6194,19.2438
42-360,Dębowiec,50.7002,19.2418
44-285,Kobyla,50.0907,18.2979
47-411,Rudnik,50.1226,18.1874
47-420,Ruda,50.2124,18.2571
47-440,Łęg,50.1472,18.2417
44-213,Książenice,50.1565,18.603
44-290,Jejkowice,50.1073,18.4714
42-624,Ożarowice,50.4721,19.0318
42-625,Celiny,50.4494,19.0602
42-674,Szałsza,50.3352,18.7091
42-674,Ptakowice,50.4173,18.7849
43-155,Bieruń,50.0744,19.1721
44-323,Połomia,49.9898,18.5545
44-361,Syrynia,50.0215,18.3389
42-445,Trzciniec,50.5616,19.7268
42-445,Szyszki,50.6865,19.7568
42-445,Siedliska,50.636,19.7516
42-446,Zawadka,50.6262,19.7296
42-450,Niegowoniczki,50.3841,19.4294
42-450,Wysoka,50.4284,19.3508
34-331,Przyłęków,49.6375,19.2554
34-371,Soblówka,49.4391,19.1377
34-383,Kamesznica,49.5715,19.0397
43-308,Bielsko-Biała,49.8061,19.018
43-309,Bielsko-Biała,49.7866,19.0509
41-923,Bytom,50.3633,18.8521
41-516,Chorzów,50.2868,18.9617
40-003,Katowice,50.2597,19.0235
40-041,Katowice,50.2513,19.02
40-047,Katowice,50.2493,19.0127
40-066,Katowice,50.2535,19.0092
40-073,Katowice,50.2536,19.007
40-226,Katowice,50.26,19.0439
40-291,Katowice,50.2444,19.0446
40-300,Katowice,50.276,19.0567
40-388,Katowice,50.2605,19.0932
40-465,Katowice,50.2216,19.0723
40-510,Katowice,50.2474,19.0306
40-514,Katowice,50.2435,19.015
40-522,Katowice,50.2375,19.0088
40-580,Katowice,50.2345,18.9861
40-626,Katowice,50.2173,18.9954
40-697,Katowice,50.2163,18.9725
40-716,Katowice,50.2234,18.9709
40-813,Katowice,50.2503,18.9868
40-833,Katowice,50.2667,18.9727
40-846,Katowice,50.2545,18.981
40-856,Katowice,50.2655,18.9951
40-870,Katowice,50.2751,18.9815
44-201,Rybnik,50.0992,18.539
40-151,Siemianowice Śląskie,50.2952,19.0064
44-241,Żory,50.0368,18.6695
28-114,Jarząbki,50.5906,20.9211
28-130,Jastrzębiec,50.4873,20.9376
28-130,Mietel,50.421,20.973
28-130,Wolica,50.4383,20.9235
28-131,Ludwinów,50.3359,20.9357
28-133,Wola Biechowska,50.3772,21.0157
25-305,Korytnica,50.6565,20.5077
28-300,Brynica Sucha,50.6291,20.2137
28-330,Lubcza,50.4794,20.3322
28-363,Zakrzów,50.7707,20.1315
28-363,Gawrony,50.7263,20.1592
28-500,Paśmiechy,50.2404,20.4449
28-500,Słonowice,50.2694,20.4515
28-530,Kózki,50.2949,20.4041
28-530,Sietejów,50.2891,20.3875
26-001,Masłów Pierwszy,50.9028,20.7277
26-001,Mąchocice Kapitulne,50.8918,20.7737
26-004,Bieliny,50.8501,20.9342
26-004,Huta Podłysica,50.8584,20.9907
26-006,Bęczków,50.8818,20.8051
26-008,Skorzeszyce,50.8307,20.8759
26-010,Orzechówka,50.9895,20.8908
26-010,Śniadka Pierwsza,50.9566,20.981
26-020,Jasień,50.6165,20.7041
26-021,Sieraków,50.8077,20.8862
26-025,Łagów,50.775,21.0821
26-035,Życiny,50.649,21.0193
26-050,Tumlin-Dąbrówka,50.9766,20.5889
26-050,Samsonów-Dudków,50.9814,20.6194
26-050,Szałas,51.0517,20.6359
26-065,Wincentów,50.8839,20.4326
26-065,Wincentów-Zręby,50.8897,20.4347
26-067,Oblęgorek,50.9542,20.4821
26-070,Piotrowiec,50.9532,20.3487
26-070,Hucisko,50.8893,20.2999
26-070,Eustachów Duży,50.9304,20.271
26-080,Wólka Kłucka,50.9923,20.3728
26-080,Lisie Jamy,51.0298,20.4343
26-080,Malmurzyn,50.981,20.4556
26-085,Tumlin-Wykień,50.9556,20.582
26-200,Paruchy,51.2269,20.5493
26-200,Modliszewice,51.2024,20.3673
26-200,Kornica,51.218,20.4073
26-200,Pomyków,51.1815,20.4428
26-212,Radoszyce,51.0831,20.2449
26-220,Czarna,51.1424,20.5191
26-230,Nalewajków,51.0455,20.3378
26-260,Zbójno,51.1494,20.1333
26-260,Zygmuntów,51.1087,20.1153
25-530,Ożarów,50.8795,21.6628
27-500,Jurkowice,50.7906,21.376
27-500,Adamów,50.8105,21.4576
27-500,Jagnin,50.7589,21.3933
27-515,Ostrów,51.0599,21.8031
27-515,Mieczysławów,50.9493,21.73
27-530,Ożarów,50.8858,21.6666
27-532,Stodoły-Kolonie,50.8156,21.5944
27-540,Adamów,50.7777,21.5247
27-545,Malżyn,50.7181,21.4408
27-552,Modliborzyce,50.7788,21.2992
27-570,Mydłów,50.7269,21.3794
27-570,Kamienna Góra,50.7154,21.26
27-570,Wzory,50.7238,21.2502
27-400,Miłków,50.8942,21.3783
27-420,Denkówek,50.9162,21.411
27-425,Grzegorzowice,50.8744,21.1501
27-440,Stoki Stare,50.9582,21.5496
27-440,Ruda Kościelna,50.9462,21.5488
28-425,Żurawniki,50.3791,20.6276
28-425,Chroberz,50.421,20.5535
28-440,Iżykowice,50.3938,20.3179
28-440,Szyszczyce,50.4009,20.3898
28-440,Zagórze,50.4319,20.3734
28-440,Kujawki,50.3598,20.4132
27-612,Pęczyny,50.7457,21.6028
27-640,Klimontów,50.6559,21.4527
27-650,Chobrzany,50.6406,21.5781
27-670,Łążek,50.5263,21.5845
27-670,Świniary Nowe,50.5354,21.5253
27-670,Wólka Gieraszowska,50.6097,21.4655
48-210,Gostomia,50.3855,17.7359
48-231,Dytmarów,50.3124,17.6642
48-250,Wierzch,50.354,17.7783
48-250,Kierpień,50.3919,17.856
47-134,Szymiszów,50.5182,18.2474
47-143,Nogowczyce,50.4389,18.3695
47-180,Grabów,50.583,18.1279
45-006,Opole,50.672,17.9198
45-092,Opole,50.6609,17.9195
45-267,Opole,50.6815,17.9509
45-470,Opole,50.6784,17.9819
45-514,Opole,50.6465,17.9766
45-528,Opole,50.6479,17.9842
45-569,Opole,50.6498,17.9432
45-644,Opole,50.6051,17.9727
45-647,Opole,50.5894,17.9822
45-660,Opole,50.6231,17.9739
45-763,Opole,50.6553,17.895
38-700,Równia,49.4074,22.5868
36-230,Domaradz,49.7906,21.9605
36-245,Herb,49.7542,22.1969
39-205,Pustków,50.1444,21.5019
39-206,Paszczyna,50.1041,21.5332
39-207,Latoszyn,50.0151,21.3906
39-218,Wola Wielka,50.0794,21.343
39-220,Podlesie,50.0009,21.1686
39-230,Przeczyca,49.8885,21.3587
39-230,Gorzejowa,49.9157,21.3655
39-230,Brzostek,49.8798,21.4113
37-544,Zapałów,50.0881,22.8813
37-561,Lutków,49.9319,22.7535
37-565,Bystrowice,49.9328,22.5746
37-565,Wola Roźwienicka,49.9633,22.5675
38-200,Lipnica Górna,49.7922,21.3637
38-212,Dąbrówka,49.7769,21.4012
38-230,Skalnik,49.5759,21.4959
38-230,Stary Żmigród,49.5936,21.5514
38-243,Kunowa,49.7316,21.3273
36-106,Trzęsówka,50.287,21.6824
36-110,Huta Komorowska,50.3876,21.709
36-110,Komorów,50.3502,21.7311
38-422,Iskrzynia,49.6837,21.8628
38-460,Moderówka,49.75,21.6288
38-485,Lipowiec,49.4095,21.7803
37-312,Majdan,50.3387,22.2617
37-611,Dachnów,50.2044,23.1061
37-613,Huta Różaniecka,50.3755,23.1991
37-627,Skolin,50.0026,23.1654
39-305,Pławo,50.3701,21.3783
39-322,Rzemień,50.2228,21.5114
39-332,Wola Chorzelowska,50.3309,21.5121
39-340,Zachwiejów,50.424,21.5457
